run_id,l_p_level,y_p_level,x_p_level,w_p_level,sigma_level,sigma_deg,sigma_rad,phi_rad,z_p_m,w_p_m,l_p_m,x_p_m,y_p_m,total_co2eq_displaced,total_profit,effect_co2eq,effect_profit,status,error_message,total_panels
1,1,1,1,1,1,20,0.34906585,0,2.5,0.9,1.2,0.05,3.5,91883.01303,194755.8321,-6588.489298,-6946.353468,ok,,520
2,2,1,1,2,2,35,0.610865238,0,2.5,1,1.5,0.05,3.5,112369.9276,217388.5271,15694.0562,17553.4,ok,,470
3,3,1,1,3,3,50,0.872664626,0,2.5,1.1,1.8,0.05,3.5,125070.0004,230428.5772,26178.2254,28354.78605,ok,,430
4,1,2,1,2,1,20,0.34906585,0,2.5,1,1.2,0.05,4,83048.10793,184906.3369,-15199.69734,-16532.25186,ok,,423
5,2,2,1,3,2,35,0.610865238,0,2.5,1.1,1.5,0.05,4,101778.4642,205485.9047,6624.03964,7381.713342,ok,,387
6,3,2,1,1,3,50,0.872664626,0,2.5,0.9,1.8,0.05,4,111373.1166,215631.581,11685.0908,12528.89435,ok,,468
7,1,3,1,3,1,20,0.34906585,0,2.5,1.1,1.2,0.05,4.5,74291.73532,175141.5198,-22678.56673,-24943.53865,ok,,344
8,2,3,1,1,2,35,0.610865238,0,2.5,0.9,1.5,0.05,4.5,89513.40615,192072.0598,-6277.947802,-6683.778495,ok,,416
9,3,3,1,2,3,50,0.872664626,0,2.5,1,1.8,0.05,4.5,99421.39563,202315.5645,4665.029916,4703.395827,ok,,376
10,1,1,2,1,2,35,0.610865238,0,2.5,0.9,1.2,0.1,3.5,94677.64112,197833.3938,-3416.997103,-3459.650186,ok,,550
11,2,1,2,2,3,50,0.872664626,0,2.5,1,1.5,0.1,3.5,109072.6747,213013.5846,11681.23027,12532.84058,ok,,495
12,3,1,2,3,1,20,0.34906585,0,2.5,1.1,1.8,0.1,3.5,119536.266,225202.2109,26652.88951,29582.95358,ok,,369
13,1,2,2,2,2,35,0.610865238,0,2.5,1,1.2,0.1,4,86070.58284,188225.0675,-12028.20515,-13045.54857,ok,,450
14,2,2,2,3,3,50,0.872664626,0,2.5,1.1,1.5,0.1,4,99377.32586,202159.1749,2611.213716,2361.15393,ok,,410
15,3,2,2,1,1,20,0.34906585,0,2.5,0.9,1.8,0.1,4,106018.8612,210386.5543,12159.75491,13757.06188,ok,,400
16,1,3,2,3,2,35,0.610865238,0,2.5,1.1,1.2,0.1,4.5,77635.66572,178768.1511,-19507.07454,-21456.83536,ok,,369
17,2,3,2,1,3,50,0.872664626,0,2.5,0.9,1.5,0.1,4.5,89241.27932,191242.7299,-10290.77373,-11704.33791,ok,,450
18,3,3,2,2,1,20,0.34906585,0,2.5,1,1.8,0.1,4.5,106018.8612,210377.9704,5139.694026,5931.563354,ok,,360
19,1,1,3,1,3,50,0.872664626,0,2.5,0.9,1.2,0.15,3.5,82022.6514,183261.1627,-11763.73367,-13313.2767,ok,,517
20,2,1,3,2,1,20,0.34906585,0,2.5,1,1.5,0.15,3.5,105528.0331,209828.9707,7821.983743,8927.941014,ok,,430
21,3,1,3,3,2,35,0.610865238,0,2.5,1.1,1.8,0.15,3.5,126236.8548,232466.6076,25490.47107,28236.58976,ok,,400
22,1,2,3,2,3,50,0.872664626,0,2.5,1,1.2,0.15,4,75800.00022,176314.6864,-20374.94171,-22899.17508,ok,,430
23,2,2,3,3,1,20,0.34906585,0,2.5,1.1,1.5,0.15,4,97183.95609,200423.711,-1248.032812,-1243.745641,ok,,360
24,3,2,3,1,2,35,0.610865238,0,2.5,0.9,1.8,0.15,4,109223.5696,213895.4197,10997.33646,12410.69806,ok,,423
25,1,3,3,3,3,50,0.872664626,0,2.5,1.1,1.2,0.15,4.5,69806.51183,169596.394,-27853.8111,-31310.46187,ok,,360
26,2,3,3,1,1,20,0.34906585,0,2.5,0.9,1.5,0.15,4.5,83048.10793,184910.9227,-14150.02025,-15309.23748,ok,,376
27,3,3,3,2,2,35,0.610865238,0,2.5,1,1.8,0.15,4.5,98694.26832,202096.2928,3977.275583,4585.199538,ok,,344
