run_id,case_name,changed_factor,changed_level,sigma_deg,phi_deg,z_p_m,w_p_m,l_p_m,x_p_m,y_p_m,total_co2eq_displaced,total_profit,status,error_message
1,nominal,none,nominal,35,0,2.5,1,1.5,0.1,4,96829.40569,320339.0924,ok,
2,sigma_deg_low,sigma_deg,low,10,0,2.5,1,1.5,0.1,4,98209.07355,323896.0634,ok,
3,sigma_deg_high,sigma_deg,high,60,0,2.5,1,1.5,0.1,4,81633.13608,270832.6225,ok,
4,phi_deg_low,phi_deg,low,35,-45,2.5,1,1.5,0.1,4,89433.54769,305471.7855,ok,
5,phi_deg_high,phi_deg,high,35,45,2.5,1,1.5,0.1,4,95412.93709,305227.7066,ok,
6,z_p_m_low,z_p_m,low,35,0,1.5,1,1.5,0.1,4,96829.40569,320338.4724,ok,
7,z_p_m_high,z_p_m,high,35,0,3.5,1,1.5,0.1,4,96829.40569,320339.2076,ok,
8,w_p_m_low,w_p_m,low,35,0,2.5,0.5,1.5,0.1,4,89298.22969,295426.8512,ok,
9,w_p_m_high,w_p_m,high,35,0,2.5,1.5,1.5,0.1,4,100057.0525,331015.3795,ok,
10,l_p_m_low,l_p_m,low,35,0,2.5,1,0.5,0.1,4,39449.01713,130530.4653,ok,
11,l_p_m_high,l_p_m,high,35,0,2.5,1,2.5,0.1,4,125519.6,415243.3255,ok,
12,x_p_m_low,x_p_m,low,35,0,2.5,1,1.5,0.02,4,105436.464,348810.5114,ok,
13,x_p_m_high,x_p_m,high,35,0,2.5,1,1.5,0.25,4,86070.58284,284749.7421,ok,
14,y_p_m_low,y_p_m,low,35,0,2.5,1,1.5,0.1,2,150623.52,498284.888,ok,
15,y_p_m_high,y_p_m,high,35,0,2.5,1,1.5,0.1,6,64552.93713,213571.6614,ok,
