run_id,case_name,changed_factor,changed_level,sigma_deg,phi_deg,z_p_m,w_p_m,l_p_m,x_p_m,y_p_m,total_co2eq_displaced,total_profit,status,error_message
1,nominal,none,nominal,45,0,2,1,1,0.1,1,198282.248724126,312356.982414032,ok,
2,sigma_deg_low,sigma_deg,low,0,0,2,1,1,0.1,1,175450.322587851,286615.584749045,ok,
3,sigma_deg_high,sigma_deg,high,90,0,2,1,1,0.1,1,182678.146192677,281234.267059329,ok,
4,phi_deg_low,phi_deg,low,45,-45,2,1,1,0.1,1,178696.215158708,298290.734655022,ok,
5,phi_deg_high,phi_deg,high,45,45,2,1,1,0.1,1,194531.094829016,298123.502502376,ok,
6,z_p_m_low,z_p_m,low,45,0,1,1,1,0.1,1,198282.248724126,307079.676702547,ok,
7,z_p_m_high,z_p_m,high,45,0,3,1,1,0.1,1,198282.248724126,312958.094272796,ok,
8,w_p_m_low,w_p_m,low,45,0,2,0.5,1,0.1,1,182860.296045582,295702.669686794,ok,
9,w_p_m_high,w_p_m,high,45,0,2,1.5,1,0.1,1,204891.65701493,319183.746199647,ok,
10,l_p_m_low,l_p_m,low,45,0,2,1,0.5,0.1,1,123071.740587388,229472.965842064,ok,
11,l_p_m_high,l_p_m,high,45,0,2,1,1.5,0.1,1,246143.481174777,364502.221935271,ok,
12,x_p_m_low,x_p_m,low,45,0,2,1,1,0.02,1,215907.337499603,331954.346936318,ok,
13,x_p_m_high,x_p_m,high,45,0,2,1,1,0.25,1,176250.887754778,287850.988374591,ok,
14,y_p_m_low,y_p_m,low,45,0,2,1,1,0.1,0.5,280330.075782384,404028.160709284,ok,
15,y_p_m_high,y_p_m,high,45,0,2,1,1,0.1,4,68373.1892152157,167983.293020453,ok,
