run_id,exitflag,fval_initial,social_value_initial,fval,social_value,func_count,iterations,time_s,x0_z_p,x0_l_p,x0_w_p,x0_phi_deg,x0_sigma_deg,x0_y_p,x0_x_p,z_p,l_p,w_p,phi_deg,sigma_deg,y_p,x_p,error
1,2,-711650.0053,711650.0053,-1261478.163,1261478.163,464,20,790.7960961,3.460330089,2.373081108,1.27486259,-19.08466387,28.91121351,4.18781233,0.689476171,4.5,2.5,1.5,17.57102409,39.05739685,2.5,0.77261316,
2,2,-232487.742,232487.742,-576237.496,576237.496,461,20,796.3690627,2.594850907,1.609418428,1.255840575,26.06274451,56.4009368,9.186082586,0.871012559,4.5,2.5,1.5,-89.69098627,0,10,0.112900966,
3,1,-539775.0482,539775.0482,-684527.4584,684527.4584,241,8,440.3166395,4.442616374,2.435201798,1.249402566,39.15532616,2.880246351,6.731698822,0.528247062,4.491862517,2.490811495,1.464474304,37.43343608,48.81289099,6.693066345,0.545639778,
4,2,-618373.9437,618373.9437,-1109145.583,1109145.583,422,22,733.3795072,4.445896727,2.27867501,1.052232995,-70.88897137,9.67547135,4.829341142,0.579884568,4.5,2.5,1.5,17.58504552,29.35058185,2.5,0.880884425,
5,1,-460540.4351,460540.4351,-1071506.098,1071506.098,346,16,640.7894353,2.873249318,2.340993239,1.229504838,48.63385896,77.82837401,6.101670354,0.635967388,3.827708949,2.5,1.5,-89.72922054,0,2.5,0.673890761,
6,2,-333369.1746,333369.1746,-505228.4827,505228.4827,372,19,676.2695732,4.410160384,2.202887444,1.077494096,2.302895075,81.78447859,9.30154073,0.4411102,4.5,2.5,1.5,17.63083096,29.32706001,10,0.583318683,
7,2,-708358.5653,708358.5653,-1267978.078,1267978.078,440,17,800.0679332,2.513546391,1.858895671,1.42791966,-18.51971174,66.72198987,3.992439621,0.444647886,4.5,2.5,1.5,17.79156508,36.94710334,2.5,0.772724779,
8,1,-419916.55,419916.55,-653255.1657,653255.1657,366,21,690.5809077,3.075072839,2.309504083,1.268524456,-83.09134663,24.65161014,8.308216462,0.225062716,4.5,2.5,1.5,17.59872367,29.33713901,10,0.1,
9,2,-111348.194,111348.194,-484084.6295,484084.6295,329,17,444.6910254,4.480106011,1.030020495,1.195703577,-37.71546994,72.67836233,9.660746112,0.940155637,4.5,2.5,1.5,17.64503366,29.3243698,10,0.673863859,
10,2,-683269.0105,683269.0105,-1109045,1109045,380,18,472.5752897,4.349519411,1.48154745,1.299076021,-33.5495193,29.7318631,3.222233842,0.697577709,4.5,2.5,1.5,17.58503447,30.15573573,2.5,0.880853445,
11,2,-347653.5625,347653.5625,-720445.6344,720445.6344,372,13,459.8972622,3.161740095,1.243336402,1.243406854,27.28591073,68.66347506,7.398944507,0.188715467,4.5,2.5,1.5,-89.98190695,0,7.499900624,0.112901965,
12,2,-336434.7124,336434.7124,-578318.4287,578318.4287,377,13,513.1754773,2.674238153,1.793581276,1.18025484,-50.64732833,38.65105167,7.345564647,0.544469892,3.675560271,2.499997874,1.499997874,20.88718599,28.69728936,7.807078722,0.772716818,
13,2,-1107975.162,1107975.162,-1187259.982,1187259.982,440,13,589.6105455,2.627540105,2.402005949,1.15779087,-14.23721425,34.44072403,3.959193979,0.165758575,3.048398626,2.489666211,1.463914315,22.32798663,29.40832921,3.965105629,0.260223615,
14,2,-33623.66191,33623.66191,-552729.5996,552729.5996,464,22,550.1089767,3.180855191,1.431284908,1.092344094,-68.68950112,88.84183369,8.345583024,0.838316846,4.5,2.5,1.5,17.61162385,29.33669498,7.814945502,0.880936621,
15,1,-411869.2312,411869.2312,-1056312.762,1056312.762,320,18,399.9216241,3.401080461,1.837319905,1.141388024,-31.53067134,41.69663499,7.752703004,0.408102052,4.5,2.5,1.5,17.5860003,29.35091187,2.5,1,
16,2,-873107.5613,873107.5613,-931622.7009,931622.7009,201,7,274.065975,4.056466621,2.45134389,1.132514517,40.02998715,80.75062365,3.545732622,0.487827555,4.263204213,2.5,1.5,-89.99999999,0,3.446360144,0.499998044,
17,2,-497615.0674,497615.0674,-819738.5201,819738.5201,189,8,197.1247438,3.22750696,1.35539858,1.041733914,55.88332515,50.36628835,3.717486811,0.6452987,4.445887924,2.5,1.5,-89.88686538,0,3.143712283,0.772725214,
18,1,-522564.2072,522564.2072,-1211304.408,1211304.408,347,16,426.4519572,3.034544175,1.918286221,1.317206065,52.61580636,67.71177361,5.854274626,0.399838054,3.709846278,2.5,1.5,-88.47888148,0,2.5,0.423068308,
19,2,-294380.728,294380.728,-408549.1744,408549.1744,293,15,393.34888,3.720200877,1.810719845,1.032837776,58.88330184,65.60673207,7.569486369,0.821191697,4.5,2.5,1.5,-90,0,10,0.77266474,
20,1,-122076.1339,122076.1339,-1056312.762,1056312.762,298,16,463.6740499,3.426085242,1.008300218,1.385799841,-53.2604498,87.90556404,4.424038031,0.885583867,4.5,2.5,1.5,17.58600329,29.35091124,2.5,1,
21,2,-432081.1057,432081.1057,-1181997.139,1181997.139,590,25,746.0055595,3.48656613,2.229528788,1.004693777,-74.88369759,55.71346858,5.071133262,0.296160638,4.5,2.5,1.5,17.55473163,30.97726316,4.106558527,0.285672407,
22,1,-694828.7887,694828.7887,-931666.4314,931666.4314,287,17,354.444513,3.32643514,2.327711851,1.058141569,63.45817274,31.0231449,3.241025292,0.963972826,3.6542784,2.5,1.5,-89.68462482,0,2.5,1,
23,1,-281556.8998,281556.8998,-1056312.762,1056312.762,261,16,322.0522837,4.379704945,1.549763109,1.20973104,-5.605868905,19.43660389,7.834376159,0.980996434,4.5,2.5,1.5,17.58589424,29.35093744,2.5,1,
