Date (M/D/YYYY),Time (H:MM:SS),Topocentric zenith angle,Top. azimuth angle (westward from S)
1/1/2024,0:00:00,159.189528,154.595363
1/1/2024,1:00:00,160.229697,195.004194
1/1/2024,2:00:00,154.315755,227.904674
1/1/2024,3:00:00,144.874165,248.072413
1/1/2024,4:00:00,134.171365,261.595650
1/1/2024,5:00:00,123.105776,272.193145
1/1/2024,6:00:00,112.103607,281.611355
1/1/2024,7:00:00,101.458765,290.793144
1/1/2024,8:00:00,91.456643,300.367295
1/1/2024,9:00:00,82.322757,310.830150
1/1/2024,10:00:00,74.761555,322.575240
1/1/2024,11:00:00,69.084202,335.800661
1/1/2024,12:00:00,65.847387,350.323961
1/1/2024,13:00:00,65.435947,5.465853
1/1/2024,14:00:00,67.903519,20.252881
1/1/2024,15:00:00,72.944816,33.885320
1/1/2024,16:00:00,80.036629,46.042778
1/1/2024,17:00:00,88.462898,56.836707
1/1/2024,18:00:00,98.560100,66.620552
1/1/2024,19:00:00,109.052905,75.864772
1/1/2024,20:00:00,119.980056,85.151610
1/1/2024,21:00:00,131.057562,95.306427
1/1/2024,22:00:00,141.914673,107.771907
1/1/2024,23:00:00,151.842199,125.544958
1/2/2024,0:00:00,159.074899,154.389578
1/2/2024,1:00:00,160.171259,194.640930
1/2/2024,2:00:00,154.313657,227.590063
1/2/2024,3:00:00,144.899397,247.839128
1/2/2024,4:00:00,134.206789,261.411526
1/2/2024,5:00:00,123.142782,272.035823
1/2/2024,6:00:00,112.136953,281.467903
1/2/2024,7:00:00,101.484367,290.655634
1/2/2024,8:00:00,91.470625,300.230630
1/2/2024,9:00:00,82.321065,310.691459
1/2/2024,10:00:00,74.740008,322.434372
1/2/2024,11:00:00,69.039081,335.661309
1/2/2024,12:00:00,65.776974,350.193995
1/2/2024,13:00:00,65.341860,5.354788
1/2/2024,14:00:00,67.790587,20.167045
1/2/2024,15:00:00,72.819222,33.825233
1/2/2024,16:00:00,79.904235,46.004782
1/2/2024,17:00:00,88.337373,56.815918
1/2/2024,18:00:00,98.421374,66.612599
1/2/2024,19:00:00,108.913799,75.866135
1/2/2024,20:00:00,119.840930,85.159030
1/2/2024,21:00:00,130.918279,95.315138
1/2/2024,22:00:00,141.775074,107.770339
1/2/2024,23:00:00,151.704294,125.496892
1/3/2024,0:00:00,158.953332,154.196081
1/3/2024,1:00:00,160.104483,194.278437
1/3/2024,2:00:00,154.304157,227.267259
1/3/2024,3:00:00,144.918324,247.597078
1/3/2024,4:00:00,134.236465,261.219758
1/3/2024,5:00:00,123.174215,271.871921
1/3/2024,6:00:00,112.164662,281.318708
1/3/2024,7:00:00,101.504109,290.513059
1/3/2024,8:00:00,91.478411,300.089525
1/3/2024,9:00:00,82.312856,310.549019
1/3/2024,10:00:00,74.711468,322.290650
1/3/2024,11:00:00,68.986616,335.520320
1/3/2024,12:00:00,65.699074,350.063961
1/3/2024,13:00:00,65.240444,5.245401
1/3/2024,14:00:00,67.670791,20.084487
1/3/2024,15:00:00,72.687435,33.769644
1/3/2024,16:00:00,79.766380,45.972110
1/3/2024,17:00:00,88.206783,56.801026
1/3/2024,18:00:00,98.278410,66.611032
1/3/2024,19:00:00,108.770872,75.874439
1/3/2024,20:00:00,119.698218,85.174147
1/3/2024,21:00:00,130.775407,95.332662
1/3/2024,22:00:00,141.631522,107.779239
1/3/2024,23:00:00,151.561454,125.461422
1/4/2024,0:00:00,158.824933,154.015063
1/4/2024,1:00:00,160.029386,193.917431
1/4/2024,2:00:00,154.287173,226.936755
1/4/2024,3:00:00,144.930847,247.346524
1/4/2024,4:00:00,134.260301,261.020511
1/4/2024,5:00:00,123.199994,271.701570
1/4/2024,6:00:00,112.186665,281.163880
1/4/2024,7:00:00,101.517936,290.365521
1/4/2024,8:00:00,91.479960,299.944078
1/4/2024,9:00:00,82.298102,310.402927
1/4/2024,10:00:00,74.675926,322.144166
1/4/2024,11:00:00,68.926815,335.377786
1/4/2024,12:00:00,65.613710,349.933949
1/4/2024,13:00:00,65.131739,5.137782
1/4/2024,14:00:00,67.544189,20.005294
1/4/2024,15:00:00,72.549529,33.718629
1/4/2024,16:00:00,79.623148,45.944825
1/4/2024,17:00:00,88.071190,56.792079
1/4/2024,18:00:00,98.131307,66.615883
1/4/2024,19:00:00,108.624223,75.889697
1/4/2024,20:00:00,119.552019,85.196958
1/4/2024,21:00:00,130.629045,95.358975
1/4/2024,22:00:00,141.484116,107.798559
1/4/2024,23:00:00,151.413785,125.438491
1/5/2024,0:00:00,158.689813,153.846684
1/5/2024,1:00:00,159.945992,193.558615
1/5/2024,2:00:00,154.262630,226.599063
1/5/2024,3:00:00,144.936871,247.087740
1/5/2024,4:00:00,134.278205,260.813965
1/5/2024,5:00:00,123.220039,271.524904
1/5/2024,6:00:00,112.202894,281.003537
1/5/2024,7:00:00,101.525792,290.213126
1/5/2024,8:00:00,91.475233,299.794388
1/5/2024,9:00:00,82.276782,310.253277
1/5/2024,10:00:00,74.633375,321.995013
1/5/2024,11:00:00,68.859688,335.233796
1/5/2024,12:00:00,65.520911,349.804048
1/5/2024,13:00:00,65.015791,5.032018
1/5/2024,14:00:00,67.410845,19.929552
1/5/2024,15:00:00,72.405580,33.672266
1/5/2024,16:00:00,79.474626,45.922989
1/5/2024,17:00:00,87.930670,56.789121
1/5/2024,18:00:00,97.980166,66.627179
1/5/2024,19:00:00,108.473955,75.911921
1/5/2024,20:00:00,119.402434,85.227455
1/5/2024,21:00:00,130.479290,95.394047
1/5/2024,22:00:00,141.332953,107.828241
1/5/2024,23:00:00,151.261389,125.428026
1/6/2024,0:00:00,158.548080,153.691069
1/6/2024,1:00:00,159.854332,193.202677
1/6/2024,2:00:00,154.230457,226.254715
1/6/2024,3:00:00,144.936302,246.821021
1/6/2024,4:00:00,134.290089,260.600307
1/6/2024,5:00:00,123.234271,271.342068
1/6/2024,6:00:00,112.213286,280.837801
1/6/2024,7:00:00,101.527628,290.055985
1/6/2024,8:00:00,91.464193,299.640561
1/6/2024,9:00:00,82.248875,310.100171
1/6/2024,10:00:00,74.583813,321.843287
1/6/2024,11:00:00,68.785251,335.088443
1/6/2024,12:00:00,65.420708,349.674348
1/6/2024,13:00:00,64.892650,4.928200
1/6/2024,14:00:00,67.270825,19.857346
1/6/2024,15:00:00,72.255671,33.630630
1/6/2024,16:00:00,79.320907,45.906662
1/6/2024,17:00:00,87.785305,56.792195
1/6/2024,18:00:00,97.825093,66.644943
1/6/2024,19:00:00,108.320172,75.941116
1/6/2024,20:00:00,119.249566,85.265626
1/6/2024,21:00:00,130.326242,95.437842
1/6/2024,22:00:00,141.178132,107.868218
1/6/2024,23:00:00,151.104371,125.429941
1/7/2024,0:00:00,158.399851,153.548317
1/7/2024,1:00:00,159.754449,192.850291
1/7/2024,2:00:00,154.190588,225.904261
1/7/2024,3:00:00,144.929049,246.546673
1/7/2024,4:00:00,134.295866,260.379740
1/7/2024,5:00:00,123.242615,271.153214
1/7/2024,6:00:00,112.217776,280.666799
1/7/2024,7:00:00,101.523393,289.894213
1/7/2024,8:00:00,91.446808,299.482704
1/7/2024,9:00:00,82.214361,309.943710
1/7/2024,10:00:00,74.527238,321.689086
1/7/2024,11:00:00,68.703521,334.941822
1/7/2024,12:00:00,65.313137,349.544944
1/7/2024,13:00:00,64.762370,4.826422
1/7/2024,14:00:00,67.124201,19.788767
1/7/2024,15:00:00,72.099889,33.593798
1/7/2024,16:00:00,79.162088,45.895904
1/7/2024,17:00:00,87.635186,56.801341
1/7/2024,18:00:00,97.666195,66.669199
1/7/2024,19:00:00,108.162982,75.977287
1/7/2024,20:00:00,119.093521,85.311453
1/7/2024,21:00:00,130.170006,95.490319
1/7/2024,22:00:00,141.019754,107.918416
1/7/2024,23:00:00,150.942838,125.444135
1/8/2024,0:00:00,158.245240,153.418497
1/8/2024,1:00:00,159.646389,192.502115
1/8/2024,2:00:00,154.142966,225.548270
1/8/2024,3:00:00,144.915025,246.265025
1/8/2024,4:00:00,134.295450,260.152474
1/8/2024,5:00:00,123.244995,270.958503
1/8/2024,6:00:00,112.216302,280.490668
1/8/2024,7:00:00,101.513042,289.727933
1/8/2024,8:00:00,91.423045,299.320930
1/8/2024,9:00:00,82.173226,309.784002
1/8/2024,10:00:00,74.463656,321.532513
1/8/2024,11:00:00,68.614520,334.794031
1/8/2024,12:00:00,65.198239,349.415931
1/8/2024,13:00:00,64.625009,4.726778
1/8/2024,14:00:00,66.971051,19.723904
1/8/2024,15:00:00,71.938327,33.561848
1/8/2024,16:00:00,78.998271,45.890775
1/8/2024,17:00:00,87.480417,56.816598
1/8/2024,18:00:00,97.503585,66.699966
