slot_time_et,mean_marginal_co2_lbs_per_mwh,median_marginal_co2_lbs_per_mwh,n_days_contributing,source_slot_ct
00:00,1440.654006,912.550000,92,23:00
00:05,1149.137269,912.550000,92,23:05
00:10,1289.452823,912.550000,92,23:10
00:15,1221.668537,912.550000,92,23:15
00:20,1265.403916,912.550000,92,23:20
00:25,1243.861448,912.550000,92,23:25
00:30,1273.519681,912.550000,92,23:30
00:35,1230.415404,912.550000,92,23:35
00:40,1306.416973,912.550000,92,23:40
00:45,1176.566163,912.550000,92,23:45
00:50,1263.744637,912.550000,92,23:50
00:55,1259.292307,912.550000,92,23:55
01:00,1336.151702,912.550000,92,00:00
01:05,1236.645351,912.550000,92,00:05
01:10,1297.079529,912.550000,92,00:10
01:15,1383.536954,912.550000,92,00:15
01:20,1360.120645,912.550000,92,00:20
01:25,1331.719195,912.550000,92,00:25
01:30,1216.668342,912.550000,92,00:30
01:35,1376.784657,912.550000,92,00:35
01:40,1288.936466,912.550000,92,00:40
01:45,1336.778005,912.550000,92,00:45
01:50,1412.213708,912.550000,92,00:50
01:55,1360.615251,912.550000,92,00:55
02:00,1346.562077,912.550000,92,01:00
02:05,1322.128903,912.550000,92,01:05
02:10,1300.795470,912.550000,92,01:10
02:15,1328.961818,912.550000,92,01:15
02:20,1300.358763,912.550000,92,01:20
02:25,1324.243329,912.550000,92,01:25
02:30,1347.213781,912.550000,92,01:30
02:35,1235.250180,912.550000,92,01:35
02:40,1412.329844,912.550000,92,01:40
02:45,1227.676618,912.550000,92,01:45
02:50,1321.405985,912.550000,92,01:50
02:55,1377.242081,912.550000,92,01:55
03:00,1278.958354,912.550000,92,02:00
03:05,1338.611342,912.550000,92,02:05
03:10,1288.301030,912.550000,92,02:10
03:15,1235.033920,912.550000,92,02:15
03:20,1411.327278,912.550000,92,02:20
03:25,1409.771006,912.550000,92,02:25
03:30,1362.196940,912.550000,92,02:30
03:35,1357.312829,912.550000,92,02:35
03:40,1449.845634,912.550000,92,02:40
03:45,1247.101552,912.550000,92,02:45
03:50,1429.352690,912.550000,92,02:50
03:55,1315.862812,912.550000,92,02:55
04:00,1434.528406,912.550000,92,03:00
04:05,1244.172850,912.550000,92,03:05
04:10,1302.059552,912.550000,92,03:10
04:15,1304.825207,912.550000,92,03:15
04:20,1382.246793,912.550000,92,03:20
04:25,1394.694088,912.550000,92,03:25
