slot_time_et,mean_marginal_co2_lbs_per_mwh,median_marginal_co2_lbs_per_mwh,n_days_contributing,source_slot_ct
00:00,1053.254103,912.550000,90,23:00
00:05,1105.727729,912.550000,90,23:05
00:10,1119.729564,912.550000,90,23:10
00:15,1080.512211,912.550000,90,23:15
00:20,1062.975654,912.550000,90,23:20
00:25,1031.449261,912.550000,90,23:25
00:30,995.824091,912.550000,90,23:30
00:35,1064.524553,912.550000,90,23:35
00:40,1101.032025,912.550000,90,23:40
00:45,1135.052611,912.550000,90,23:45
00:50,1151.854204,912.550000,90,23:50
00:55,1178.452600,1024.113083,90,23:55
01:00,1058.622197,912.550000,90,00:00
01:05,1019.874912,912.550000,90,00:05
01:10,1028.507409,912.550000,90,00:10
01:15,1093.234552,912.550000,90,00:15
01:20,1131.292294,912.550000,90,00:20
01:25,1128.994572,912.550000,90,00:25
01:30,1049.450465,912.550000,90,00:30
01:35,1033.516662,912.550000,90,00:35
01:40,1042.372978,912.550000,90,00:40
01:45,1115.068220,912.550000,90,00:45
01:50,1101.582268,912.550000,90,00:50
01:55,1081.866504,912.550000,90,00:55
02:00,1048.026448,912.550000,90,01:00
02:05,1047.405177,912.550000,90,01:05
02:10,1070.954908,912.550000,90,01:10
02:15,1179.016776,912.550000,90,01:15
02:20,1145.799051,912.550000,90,01:20
02:25,1144.921007,912.550000,90,01:25
02:30,1167.408886,912.550000,90,01:30
02:35,1078.056997,912.550000,90,01:35
02:40,1096.721166,912.550000,90,01:40
02:45,1089.088670,912.550000,90,01:45
02:50,1063.944796,912.550000,90,01:50
02:55,1115.447549,912.550000,90,01:55
03:00,1043.527288,912.550000,90,02:00
03:05,1140.704503,912.550000,90,02:05
03:10,1180.767257,912.550000,90,02:10
03:15,1096.372977,912.550000,90,02:15
03:20,1054.073929,912.550000,90,02:20
03:25,989.371707,912.550000,90,02:25
03:30,1192.307518,912.550000,90,02:30
03:35,1102.979269,912.550000,90,02:35
03:40,1131.140662,912.550000,90,02:40
03:45,1113.539758,912.550000,90,02:45
03:50,1076.293243,912.550000,90,02:50
03:55,1085.589193,912.550000,90,02:55
04:00,1140.189496,912.550000,90,03:00
04:05,1114.726672,912.550000,90,03:05
04:10,1153.248533,912.550000,90,03:10
04:15,1114.575375,912.550000,90,03:15
04:20,1125.632774,912.550000,90,03:20
04:25,1163.750539,912.550000,90,03:25
04:30,1086.266516,912.550000,90,03:30
04:35,1184.453970,912.550000,90,03:35
04:40,1135.488488,912.550000,90,03:40
04:45,1006.988064,912.550000,90,03:45
04:50,1071.541282,912.550000,90,03:50
04:55,1082.277460,912.550000,90,03:55
05:00,1162.769491,912.550000,90,04:00
05:05,1062.481749,912.550000,90,04:05
05:10,1140.977042,912.550000,90,04:10
05:15,1140.249649,912.550000,90,04:15
05:20,1090.813906,912.550000,90,04:20
05:25,1017.726827,912.550000,90,04:25
05:30,1089.316026,912.550000,90,04:30
05:35,1122.903814,912.550000,90,04:35
05:40,1059.853113,912.550000,90,04:40
05:45,1062.387535,912.550000,90,04:45
05:50,1246.647434,989.050400,90,04:50
05:55,1098.967562,912.550000,90,04:55
06:00,1126.596866,912.550000,90,05:00
06:05,1134.566076,912.550000,90,05:05
06:10,1141.060543,912.550000,90,05:10
06:15,1091.363248,912.550000,90,05:15
06:20,1044.798651,912.550000,90,05:20
06:25,1138.508679,912.550000,90,05:25
06:30,1085.681069,912.550000,90,05:30
06:35,1052.499836,912.550000,90,05:35
06:40,1021.684755,912.550000,90,05:40
06:45,1039.972991,912.550000,90,05:45
06:50,963.657293,912.550000,90,05:50
06:55,1021.105090,912.550000,90,05:55
07:00,1104.203987,912.550000,90,06:00
07:05,1104.674110,912.550000,90,06:05
07:10,1022.861602,912.550000,90,06:10
07:15,935.931802,912.550000,90,06:15
07:20,1015.703707,912.550000,90,06:20
07:25,1135.056190,912.550000,90,06:25
07:30,1002.782877,912.550000,90,06:30
07:35,1096.721593,912.550000,90,06:35
07:40,979.669104,912.550000,90,06:40
07:45,1082.345650,912.550000,90,06:45
07:50,1123.410354,912.550000,90,06:50
07:55,1100.951099,912.550000,90,06:55
08:00,1002.074146,912.550000,90,07:00
08:05,1004.789205,912.550000,90,07:05
08:10,1000.204352,912.550000,90,07:10
08:15,961.951546,912.550000,90,07:15
08:20,1060.383073,912.550000,90,07:20
08:25,1037.232776,912.550000,90,07:25
08:30,1019.649168,912.550000,90,07:30
08:35,1025.289204,912.550000,90,07:35
08:40,1111.212057,912.550000,90,07:40
08:45,1062.236988,912.550000,90,07:45
08:50,1080.831792,912.550000,90,07:50
08:55,1111.257965,912.550000,90,07:55
09:00,1041.586694,912.550000,90,08:00
09:05,1024.965828,912.550000,90,08:05
09:10,1091.887370,912.550000,90,08:10
09:15,1138.176888,912.550000,90,08:15
09:20,1035.658337,912.550000,90,08:20
09:25,1020.068101,912.550000,90,08:25
09:30,1094.990325,912.550000,90,08:30
09:35,1212.070851,912.550000,90,08:35
