run_id,sigma_level,z_p_level,w_p_level,l_p_level,x_p_level,sigma_rad,phi_rad,z_p_m,w_p_m,l_p_m,x_p_m,y_p_m,total_co2eq_displaced,total_profit,status,error_message
1,1,1,1,1,1,0.35,0,2,0.9,1.8,0.05,4,110259.7248,364117.5344,ok,
2,2,1,1,2,2,0.52,0,2,0.9,2,0.1,4,116509.3103,385206.7343,ok,
3,3,1,1,3,3,0.7,0,2,0.9,2.2,0.15,4,116164.5938,384519.5021,ok,
4,1,2,1,2,1,0.35,0,2.5,0.9,2,0.05,4,122510.8053,404571.0407,ok,
5,2,2,1,3,2,0.52,0,2.5,0.9,2.2,0.1,4,128160.2413,423723.9097,ok,
6,3,2,1,1,3,0.7,0,2.5,0.9,1.8,0.15,4,95043.75855,314613.779,ok,
7,1,3,1,3,1,0.35,0,3,0.9,2.2,0.05,4,134761.8859,445024.5052,ok,
8,2,3,1,1,2,0.52,0,3,0.9,1.8,0.1,4,104858.3792,346689.9742,ok,
9,3,3,1,2,3,0.7,0,3,0.9,2,0.15,4,105604.1762,349566.8339,ok,
10,1,1,2,1,2,0.35,0,2,1,1.8,0.1,4,106018.9662,350114.2143,ok,
11,2,1,2,2,3,0.52,0,2,1,2,0.15,4,111331.1187,368087.8507,ok,
12,3,1,2,3,1,0.7,0,2,1,2.2,0.05,4,129071.7709,427239.8729,ok,
13,1,2,2,2,2,0.35,0,2.5,1,2,0.1,4,117798.8513,389011.9467,ok,
14,2,2,2,3,3,0.52,0,2.5,1,2.2,0.15,4,122464.2306,404893.2419,ok,
15,3,2,2,1,1,0.7,0,2.5,1,1.8,0.05,4,105604.1762,349566.8658,ok,
16,1,3,2,3,2,0.35,0,3,1,2.2,0.1,4,129578.7364,427909.5122,ok,
17,2,3,2,1,3,0.52,0,3,1,1.8,0.15,4,100198.0068,331283.0881,ok,
18,3,3,2,2,1,0.7,0,3,1,2,0.05,4,117337.9735,388403.606,ok,
19,1,1,3,1,3,0.35,0,2,1.1,1.8,0.15,4,103662.9891,342334.4751,ok,
20,2,1,3,2,1,0.52,0,2,1.1,2,0.05,4,122464.2306,404893.0162,ok,
21,3,1,3,3,2,0.7,0,2,1.1,2.2,0.1,4,123853.9759,409969.7382,ok,
22,1,2,3,2,3,0.35,0,2.5,1.1,2,0.15,4,115181.099,380367.9126,ok,
23,2,2,3,3,1,0.52,0,2.5,1.1,2.2,0.05,4,134710.6536,445378.9645,ok,
24,3,2,3,1,2,0.7,0,2.5,1.1,1.8,0.1,4,101335.0712,335436.7844,ok,
25,1,3,3,3,3,0.35,0,3,1.1,2.2,0.15,4,126699.2089,418401.1509,ok,
26,2,3,3,1,1,0.52,0,3,1.1,1.8,0.05,4,110217.8075,364407.822,ok,
27,3,3,3,2,2,0.7,0,3,1.1,2,0.1,4,112594.5235,372703.5917,ok,
