run_id,sigma_level,z_p_level,w_p_level,l_p_level,x_p_level,sigma_rad,phi_rad,z_p_m,w_p_m,l_p_m,x_p_m,y_p_m,total_co2eq_displaced,total_profit,status,error_message
1,1,1,1,1,1,0.35,0,2,0.9,1.8,0.05,4,110259.724805869,364117.534434166,ok,
2,2,1,1,2,2,0.52,0,2,0.9,2,0.1,4,116509.310266638,385206.734299378,ok,
3,3,1,1,3,3,0.7,0,2,0.9,2.2,0.15,4,116164.593781168,384519.502050317,ok,
4,1,2,1,2,1,0.35,0,2.5,0.9,2,0.05,4,122510.805339855,404571.040718732,ok,
5,2,2,1,3,2,0.52,0,2.5,0.9,2.2,0.1,4,128160.241293302,423723.909665789,ok,
6,3,2,1,1,3,0.7,0,2.5,0.9,1.8,0.15,4,95043.7585482284,314613.779016065,ok,
7,1,3,1,3,1,0.35,0,3,0.9,2.2,0.05,4,134761.88587384,445024.505217758,ok,
8,2,3,1,1,2,0.52,0,3,0.9,1.8,0.1,4,104858.379239974,346689.974165364,ok,
9,3,3,1,2,3,0.7,0,3,0.9,2,0.15,4,105604.176164698,349566.833852132,ok,
10,1,1,2,1,2,0.35,0,2,1,1.8,0.1,4,106018.96615949,350114.214289995,ok,
11,2,1,2,2,3,0.52,0,2,1,2,0.15,4,111331.118699232,368087.850726305,ok,
12,3,1,2,3,1,0.7,0,2,1,2.2,0.05,4,129071.770867964,427239.872949901,ok,
13,1,2,2,2,2,0.35,0,2.5,1,2,0.1,4,117798.851288322,389011.946733064,ok,
14,2,2,2,3,3,0.52,0,2.5,1,2.2,0.15,4,122464.230569155,404893.241868377,ok,
15,3,2,2,1,1,0.7,0,2.5,1,1.8,0.05,4,105604.176164698,349566.865844757,ok,
16,1,3,2,3,2,0.35,0,3,1,2.2,0.1,4,129578.736417154,427909.512157934,ok,
17,2,3,2,1,3,0.52,0,3,1,1.8,0.15,4,100198.006829309,331283.088084447,ok,
18,3,3,2,2,1,0.7,0,3,1,2,0.05,4,117337.973516331,388403.605963367,ok,
19,1,1,3,1,3,0.35,0,2,1.1,1.8,0.15,4,103662.989133723,342334.475118233,ok,
20,2,1,3,2,1,0.52,0,2,1.1,2,0.05,4,122464.230569155,404893.016230038,ok,
21,3,1,3,3,2,0.7,0,2,1.1,2.2,0.1,4,123853.97587543,409969.738241791,ok,
22,1,2,3,2,3,0.35,0,2.5,1.1,2,0.15,4,115181.09903747,380367.912641174,ok,
23,2,2,3,3,1,0.52,0,2.5,1.1,2.2,0.05,4,134710.653626071,445378.96450806,ok,
24,3,2,3,1,2,0.7,0,2.5,1.1,1.8,0.1,4,101335.071170806,335436.784440299,ok,
25,1,3,3,3,3,0.35,0,3,1.1,2.2,0.15,4,126699.208941217,418401.150853921,ok,
26,2,3,3,1,1,0.52,0,3,1.1,1.8,0.05,4,110217.80751224,364407.821996927,ok,
27,3,3,3,2,2,0.7,0,3,1.1,2,0.1,4,112594.523523118,372703.591679257,ok,
