var_name,perturbed_value,social_value,percent_change,norm_sensitivity
z_p,2.500000,161406.9071,-0.9116,-1.4920
z_p,2.500000,161406.9071,-0.9116,-1.4920
z_p,2.676278,161507.1864,-0.8500,-1.4566
z_p,3.801278,161767.5487,-0.6902,-1.6896
z_p,4.926278,162060.2841,-0.5105,-2.1869
z_p,5.676278,162584.8092,-0.1884,-1.6147
z_p,6.051278,162785.4413,-0.0653,-1.1187
z_p,6.426278,162891.7737,0.0000,NaN
z_p,6.801278,162870.7631,-0.0129,-0.2210
z_p,7.176278,162848.4257,-0.0266,-0.2280
z_p,7.926278,162803.7426,-0.0540,-0.2315
z_p,9.051278,162738.9631,-0.0938,-0.2297
z_p,10.000000,162699.6369,-0.1180,-0.2121
z_p,10.000000,162699.6369,-0.1180,-0.2121
z_p,10.000000,162699.6369,-0.1180,-0.2121
l_p,1.000000,162891.7737,0.0000,NaN
l_p,1.000000,162891.7737,0.0000,NaN
l_p,1.000000,162891.7737,0.0000,NaN
l_p,1.000000,162891.7737,0.0000,NaN
l_p,1.000000,162891.7737,0.0000,NaN
l_p,1.000000,162891.7737,0.0000,NaN
l_p,1.000000,162891.7737,0.0000,NaN
l_p,1.000000,162891.7737,0.0000,NaN
l_p,1.075000,162670.3156,-0.1360,-1.8127
l_p,1.150000,162436.0332,-0.2798,-1.8652
l_p,1.300000,161935.4837,-0.5871,-1.9569
l_p,1.525000,161181.8445,-1.0497,-1.9995
l_p,1.750000,160428.6479,-1.5121,-2.0162
l_p,2.050000,159391.9668,-2.1485,-2.0462
l_p,2.500000,157755.2635,-3.1533,-2.1022
w_p,1.000000,162762.1651,-0.0796,-12595.7664
w_p,1.000000,162762.1651,-0.0796,-12595.7664
w_p,1.000000,162762.1651,-0.0796,-12595.7664
w_p,1.000000,162762.1651,-0.0796,-12595.7664
w_p,1.000000,162762.1651,-0.0796,-12595.7664
w_p,1.000000,162762.1651,-0.0796,-12595.7664
w_p,1.000000,162762.1651,-0.0796,-12595.7664
w_p,1.000006,162891.7737,0.0000,NaN
w_p,1.025006,162821.4035,-0.0432,-1.7280
w_p,1.050006,162750.8326,-0.0865,-1.7305
w_p,1.100006,162751.7076,-0.0860,-0.8599
w_p,1.175006,162699.8352,-0.1178,-0.6733
w_p,1.250006,162503.9148,-0.2381,-0.9524
w_p,1.350006,162415.6572,-0.2923,-0.8351
w_p,1.500000,162230.8979,-0.4057,-0.8114
phi,-90.000000,157961.3439,-3.0268,-0.4040
phi,-90.000000,157961.3439,-3.0268,-0.4040
phi,-76.136703,158915.5601,-2.4410,-0.3760
phi,-49.136703,160719.7338,-1.3334,-0.2934
phi,-22.136703,162129.7229,-0.4678,-0.1802
phi,-4.136703,162696.3539,-0.1200,-0.0924
phi,4.863297,162841.8423,-0.0307,-0.0472
phi,13.863297,162891.7737,0.0000,NaN
phi,22.863297,162842.5942,-0.0302,-0.0465
phi,31.863297,162698.8681,-0.1184,-0.0912
phi,49.863297,162130.3561,-0.4674,-0.1800
phi,76.863297,160725.2316,-1.3301,-0.2927
phi,90.000000,159873.1067,-1.8532,-0.3374
phi,90.000000,159873.1067,-1.8532,-0.3374
phi,90.000000,159873.1067,-1.8532,-0.3374
sigma,0.000000,160594.5618,-1.4103,-1.4103
sigma,0.000000,160594.5618,-1.4103,-1.4103
sigma,0.000000,160594.5618,-1.4103,-1.4103
sigma,0.000000,160594.5618,-1.4103,-1.4103
sigma,7.518242,161655.6699,-0.7588,-1.0758
sigma,16.518242,162510.1946,-0.2343,-0.6642
sigma,21.018242,162761.1102,-0.0802,-0.4549
sigma,25.518242,162891.7737,0.0000,NaN
sigma,30.018242,162127.6354,-0.4691,-2.6602
sigma,34.518242,161991.0320,-0.5530,-1.5679
sigma,43.518242,161272.3221,-0.9942,-1.4094
sigma,57.018242,159120.8995,-2.3150,-1.8754
sigma,70.518242,155788.0007,-4.3610,-2.4730
sigma,88.518242,149831.3053,-8.0179,-3.2477
sigma,90.000000,149279.3097,-8.3568,-3.3071
y_p,2.500000,154869.4601,-4.9249,-6.7909
y_p,3.848476,158402.5367,-2.7560,-4.7762
y_p,5.348476,160753.0512,-1.3130,-3.1856
y_p,6.473476,161452.5206,-0.8836,-3.0625
y_p,7.598476,162172.4410,-0.4416,-2.6786
y_p,8.348476,162141.6010,-0.4605,-5.5869
y_p,8.723476,162127.9623,-0.4689,-11.3769
y_p,9.098476,162891.7737,0.0000,NaN
y_p,9.473476,162841.9550,-0.0306,-0.7420
y_p,9.848476,162752.9073,-0.0853,-1.0342
y_p,10.000000,162718.9394,-0.1061,-1.0708
y_p,10.000000,162718.9394,-0.1061,-1.0708
y_p,10.000000,162718.9394,-0.1061,-1.0708
y_p,10.000000,162718.9394,-0.1061,-1.0708
y_p,10.000000,162718.9394,-0.1061,-1.0708
x_p,0.100000,160055.4619,-1.7412,-1.9347
x_p,0.370000,161267.1215,-0.9974,-1.5831
x_p,0.550000,161811.3110,-0.6633,-1.4740
x_p,0.685000,162215.4438,-0.4152,-1.3181
x_p,0.820000,162487.8620,-0.2480,-1.3776
x_p,0.910000,162625.3585,-0.1636,-1.8173
x_p,0.955000,162758.6485,-0.0817,-1.8161
x_p,1.000000,162891.7737,0.0000,NaN
x_p,1.000000,162891.7737,0.0000,0.0466
x_p,1.000000,162891.7737,0.0000,0.0466
x_p,1.000000,162891.7737,0.0000,0.0466
x_p,1.000000,162891.7737,0.0000,0.0466
x_p,1.000000,162891.7737,0.0000,0.0466
x_p,1.000000,162891.7737,0.0000,0.0466
x_p,1.000000,162891.7737,0.0000,0.0466
