param_name,perturbed_value,social_value,percent_change
crop_RUE,0.500000,164436.3736,-58.1409
crop_RUE,0.750000,278634.7950,-29.0705
crop_RUE,0.800000,301474.4792,-23.2564
crop_RUE,0.900000,347153.8478,-11.6282
crop_RUE,0.950000,369993.5321,-5.8141
crop_RUE,1.000000,392833.2163,0.0000
crop_RUE,1.050000,415672.9006,5.8141
crop_RUE,1.100000,438512.5849,11.6282
crop_RUE,1.200000,484191.9535,23.2564
crop_RUE,1.500000,621230.0591,58.1409
crop_RUE,2.000000,849626.9019,116.2818
crop_elec_price,0.027000,362225.6317,-7.7915
crop_elec_price,0.040500,377529.4240,-3.8957
crop_elec_price,0.043200,380590.1825,-3.1166
crop_elec_price,0.048600,386711.6994,-1.5583
crop_elec_price,0.051300,389772.4579,-0.7791
crop_elec_price,0.054000,392833.2163,0.0000
crop_elec_price,0.056700,395893.9748,0.7791
crop_elec_price,0.059400,398954.7333,1.5583
crop_elec_price,0.064800,405076.2502,3.1166
crop_elec_price,0.081000,423440.8010,7.7915
crop_elec_price,0.108000,454048.3856,15.5830
crop_price,8.015000,164436.3736,-58.1409
crop_price,12.022500,278634.7950,-29.0705
crop_price,12.824000,301474.4792,-23.2564
crop_price,14.427000,347153.8478,-11.6282
crop_price,15.228500,369993.5321,-5.8141
crop_price,16.030000,392833.2163,0.0000
crop_price,16.831500,415672.9006,5.8141
crop_price,17.633000,438512.5849,11.6282
crop_price,19.236000,484191.9535,23.2564
crop_price,24.045000,621230.0591,58.1409
crop_price,32.060000,849626.9019,116.2818
PV_n_p,0.100000,340936.3996,-13.2109
PV_n_p,0.150000,366884.8080,-6.6055
PV_n_p,0.160000,372074.4897,-5.2844
PV_n_p,0.180000,382453.8530,-2.6422
PV_n_p,0.190000,387643.5347,-1.3211
PV_n_p,0.200000,392833.2163,0.0000
PV_n_p,0.210000,398022.8980,1.3211
PV_n_p,0.220000,403212.5797,2.6422
PV_n_p,0.240000,413591.9430,5.2844
PV_n_p,0.300000,444730.0330,13.2109
PV_n_p,0.400000,496626.8497,26.4218
crop_T_max,15.000000,-42263.3665,-110.7586
crop_T_max,20.000000,164349.5841,-58.1630
crop_T_max,24.000000,354943.7048,-9.6452
crop_T_max,27.000000,382007.6416,-2.7558
crop_T_max,28.500000,388375.6267,-1.1347
crop_T_max,30.000000,392833.2163,0.0000
crop_T_max,31.500000,396127.9565,0.8387
crop_T_max,33.000000,398662.3720,1.4839
crop_T_max,36.000000,402305.5942,2.4113
crop_T_max,40.000000,405463.0535,3.2151
crop_T_max,45.000000,407989.0210,3.8581
