variant,member,is_seed,num_variables,objective_cost,social_value,profit,emissions_value,pv_revenue,crop_revenue,yearly_biomass,total_panels,mean_tracking_deg,max_tracking_deg
fixedAxisBaseline,1,1,7,-437097.304754141,437097.304754141,-431690.679740074,868787.984494215,282204.357322606,231847.865551212,671.54987772011,736,0,0
fixedAxisBaseline,2,0,7,-432530.797568846,432530.797568846,-432815.973414024,865346.77098287,281066.836550787,231860.092649081,671.585293642786,736,0,0
fixedAxisBaseline,3,0,7,-402715.803373846,402715.803373846,-440164.689760793,842880.493134639,273642.623858737,231935.588994362,671.803969632412,736,0,0
fixedAxisBaseline,4,0,7,-547097.833220553,547097.833220553,-276938.92652233,824036.759742883,268690.754557174,230985.221534388,669.05121989276,576,0,0
fixedAxisBaseline,5,0,7,-381941.544067168,381941.544067168,-470847.197400212,852788.741467379,276708.688212728,232012.617000952,672.027082095765,768,0,0
fixedAxisBaseline,6,0,7,-453961.676285958,453961.676285958,-376445.001191529,830406.677477487,269956.771554538,231689.929867825,671.092415286226,672,0,0
fixedAxisBaseline,7,0,7,-372028.74291951,372028.74291951,-473292.852392744,845321.595312254,274243.237161615,232032.413059533,672.084421595905,768,0,0
fixedAxisBaseline,8,0,7,-383923.209769136,383923.209769136,-495920.78903921,879843.998808347,285439.157235024,232034.156339657,672.089471025848,800,0,0
fixedAxisBaseline,9,0,7,-496835.223281502,496835.223281502,-340371.115426291,837206.338707792,272448.183800457,231446.803387145,670.388196776457,640,0,0
fixedAxisBaseline,10,0,7,-430728.062572944,430728.062572944,-433260.227115942,863988.289688885,280617.804699085,231864.870798865,671.599133605882,736,0,0
fixedAxisBaseline,11,0,7,-455068.206001557,455068.206001557,-376172.754343835,831240.960345392,270232.843470763,231686.104799294,671.0813359334,672,0,0
fixedAxisBaseline,12,0,7,-444709.182539186,444709.182539186,-404266.064007564,848975.24654675,275873.207242342,231778.031363986,671.347602233205,704,0,0
fixedAxisBaseline,13,0,7,-383923.209769136,383923.209769136,-495920.78903921,879843.998808347,285439.157235024,232034.156339657,672.089471025848,800,0,0
fixedAxisBaseline,14,0,7,-383923.209769136,383923.209769136,-495920.78903921,879843.998808347,285439.157235024,232034.156339657,672.089471025848,800,0,0
fixedAxisBaseline,15,0,7,-472766.716555964,472766.716555964,-371818.859272684,844585.575828648,274649.618336675,231623.225004533,670.899203920312,672,0,0
fixedAxisBaseline,16,0,7,-488303.658891564,488303.658891564,-316945.164920371,805248.823811935,262108.323659505,231387.014034016,670.215016261352,608,0,0
fixedAxisBaseline,17,0,7,-394278.006248186,394278.006248186,-467803.986817879,862081.993066064,279777.579708815,231986.936087198,671.952697048267,768,0,0
fixedAxisBaseline,18,0,7,-380902.854385291,380902.854385291,-471103.446060105,852006.300445397,276450.330223863,232014.726329924,672.033191790196,768,0,0
