var_name,perturbed_value,social_value,percent_change,norm_sensitivity
z_p,2.500000,1782032.3450,-0.2684,-0.6038
z_p,3.100000,1784049.4406,-0.1555,-0.4998
z_p,3.500000,1785050.6718,-0.0995,-0.4475
z_p,3.800000,1785681.2039,-0.0642,-0.4125
z_p,4.100000,1786230.6838,-0.0334,-0.3759
z_p,4.300000,1786551.7949,-0.0154,-0.3475
z_p,4.400000,1786698.7413,-0.0072,-0.3248
z_p,4.500000,1786827.7282,0.0000,NaN
z_p,4.500000,1786827.7282,0.0000,NaN
z_p,4.500000,1786827.7282,0.0000,NaN
z_p,4.500000,1786827.7282,0.0000,NaN
z_p,4.500000,1786827.7282,0.0000,NaN
z_p,4.500000,1786827.7282,0.0000,NaN
z_p,4.500000,1786827.7282,0.0000,NaN
z_p,4.500000,1786827.7282,0.0000,NaN
l_p,1.000000,909403.5828,-49.1051,-81.8419
l_p,1.450000,1224689.4412,-31.4601,-74.9051
l_p,1.750000,1364452.4805,-23.6383,-78.7942
l_p,1.975000,1539981.8777,-13.8148,-65.7845
l_p,2.200000,1572481.8918,-11.9959,-99.9657
l_p,2.350000,1679714.4775,-5.9946,-99.9101
l_p,2.425000,1733285.5063,-2.9965,-99.8832
l_p,2.500000,1786827.7282,0.0000,NaN
l_p,2.500000,1786827.7282,0.0000,NaN
l_p,2.500000,1786827.7282,0.0000,NaN
l_p,2.500000,1786827.7282,0.0000,NaN
l_p,2.500000,1786827.7282,0.0000,NaN
l_p,2.500000,1786827.7282,0.0000,NaN
l_p,2.500000,1786827.7282,0.0000,NaN
l_p,2.500000,1786827.7282,0.0000,NaN
w_p,1.000000,1690795.5927,-5.3744,-16.1233
w_p,1.150000,1723447.8564,-3.5471,-15.2017
w_p,1.250000,1729198.2028,-3.2252,-19.3515
w_p,1.325000,1731110.1250,-3.1182,-26.7278
w_p,1.400000,1775320.2777,-0.6440,-9.6602
w_p,1.450000,1727254.3957,-3.3340,-100.0208
w_p,1.475000,1757040.7231,-1.6670,-100.0220
w_p,1.500000,1786827.7282,0.0000,NaN
w_p,1.500000,1786827.7282,0.0000,NaN
w_p,1.500000,1786827.7282,0.0000,NaN
w_p,1.500000,1786827.7282,0.0000,NaN
w_p,1.500000,1786827.7282,0.0000,NaN
w_p,1.500000,1786827.7282,0.0000,NaN
w_p,1.500000,1786827.7282,0.0000,NaN
w_p,1.500000,1786827.7282,0.0000,NaN
phi,-90.000000,1150848.2531,-35.5927,-5.8061
phi,-90.000000,1150848.2531,-35.5927,-5.8061
phi,-72.457025,1298152.9191,-27.3487,-5.3309
phi,-45.457025,1519977.3440,-14.9343,-4.1586
phi,-18.457025,1693471.5892,-5.2247,-2.5460
phi,-0.457025,1762895.5054,-1.3394,-1.3054
phi,8.542975,1780810.8352,-0.3367,-0.6564
phi,17.542975,1786827.7282,0.0000,NaN
phi,26.542975,1780794.1168,-0.3377,-0.6582
phi,35.542975,1762897.7925,-1.3392,-1.3052
phi,53.542975,1693588.5071,-5.2181,-2.5428
phi,80.542975,1520187.6194,-14.9225,-4.1553
phi,90.000000,1445609.0152,-19.0963,-4.6235
phi,90.000000,1445609.0152,-19.0963,-4.6235
phi,90.000000,1445609.0152,-19.0963,-4.6235
sigma,0.000000,1299797.0409,-27.2567,-27.2567
sigma,0.000000,1299797.0409,-27.2567,-27.2567
sigma,0.000000,1299797.0409,-27.2567,-27.2567
sigma,5.497346,1358020.1642,-23.9983,-28.1864
sigma,18.997346,1613142.2087,-9.7203,-19.9792
sigma,27.997346,1637239.3262,-8.3717,-34.4146
