param_name,perturbed_value,social_value,percent_change
crop_RUE,1.000000,-3986.6901,-102.4474
crop_RUE,1.500000,79452.5418,-51.2237
crop_RUE,1.600000,96140.3882,-40.9790
crop_RUE,1.800000,129516.0809,-20.4895
crop_RUE,1.900000,146203.9273,-10.2447
crop_RUE,2.000000,162891.7737,0.0000
crop_RUE,2.100000,179579.6200,10.2447
crop_RUE,2.200000,196267.4664,20.4895
crop_RUE,2.400000,229643.1591,40.9790
crop_RUE,3.000000,329770.2374,102.4474
crop_RUE,4.000000,496648.7011,204.8949
crop_elec_price,0.050000,150047.2083,-7.8853
crop_elec_price,0.075000,156469.4910,-3.9427
crop_elec_price,0.080000,157753.9475,-3.1541
crop_elec_price,0.090000,160322.8606,-1.5771
crop_elec_price,0.095000,161607.3171,-0.7885
crop_elec_price,0.100000,162891.7737,0.0000
crop_elec_price,0.105000,164176.2302,0.7885
crop_elec_price,0.110000,165460.6867,1.5771
crop_elec_price,0.120000,168029.5998,3.1541
crop_elec_price,0.150000,175736.3390,7.8853
crop_elec_price,0.200000,188580.9044,15.7707
crop_price,8.015000,-3986.6901,-102.4474
crop_price,12.022500,79452.5418,-51.2237
crop_price,12.824000,96140.3882,-40.9790
crop_price,14.427000,129516.0809,-20.4895
crop_price,15.228500,146203.9273,-10.2447
crop_price,16.030000,162891.7737,0.0000
crop_price,16.831500,179579.6200,10.2447
crop_price,17.633000,196267.4664,20.4895
crop_price,19.236000,229643.1591,40.9790
crop_price,24.045000,329770.2374,102.4474
crop_price,32.060000,496648.7011,204.8949
PV_n_p,0.100000,164447.2992,0.9549
PV_n_p,0.150000,163669.5365,0.4775
PV_n_p,0.160000,163513.9839,0.3820
PV_n_p,0.180000,163202.8788,0.1910
PV_n_p,0.190000,163047.3262,0.0955
PV_n_p,0.200000,162891.7737,0.0000
PV_n_p,0.210000,162736.2211,-0.0955
PV_n_p,0.220000,162580.6685,-0.1910
PV_n_p,0.240000,162269.5634,-0.3820
PV_n_p,0.300000,161336.2481,-0.9549
PV_n_p,0.400000,159780.7225,-1.9099
crop_T_max,15.000000,-154942.3124,-195.1198
crop_T_max,20.000000,-27955.7809,-117.1622
crop_T_max,24.000000,132053.3323,-18.9319
crop_T_max,27.000000,154080.7904,-5.4091
crop_T_max,28.500000,159263.7217,-2.2273
crop_T_max,30.000000,162891.7737,0.0000
crop_T_max,31.500000,165573.3773,1.6462
crop_T_max,33.000000,167636.1493,2.9126
crop_T_max,36.000000,170601.3840,4.7330
crop_T_max,40.000000,173171.2541,6.3106
crop_T_max,45.000000,175227.1502,7.5727
crop_GCF,0.150000,-3986.6901,-102.4474
crop_GCF,0.225000,79452.5418,-51.2237
crop_GCF,0.240000,96140.3882,-40.9790
crop_GCF,0.270000,129516.0809,-20.4895
crop_GCF,0.285000,146203.9273,-10.2447
crop_GCF,0.300000,162891.7737,0.0000
crop_GCF,0.315000,179579.6200,10.2447
crop_GCF,0.330000,196267.4664,20.4895
crop_GCF,0.360000,229643.1591,40.9790
crop_GCF,0.450000,329770.2374,102.4474
crop_GCF,0.600000,496648.7011,204.8949
